timestamp,can_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,label,source_file
5.73,339,7,0,128,16,255,0,255,122,142,normal,train_fuzzy_group0_realistic_b0
5.73,790,8,5,25,182,9,26,23,0,127,normal,train_fuzzy_group0_realistic_b0
5.73,356,7,0,8,0,0,0,0,8,7,normal,train_fuzzy_group0_realistic_b0
5.73,544,7,237,3,147,3,11,0,60,16,normal,train_fuzzy_group0_realistic_b0
5.736801493452568,544,7,237,3,141,3,10,0,60,16,normal,train_fuzzy_group0_realistic_b0
5.736828639349009,356,7,0,8,0,0,0,0,9,7,normal,train_fuzzy_group0_realistic_b0
5.737097721102585,339,7,0,128,16,255,0,255,111,140,normal,train_fuzzy_group0_realistic_b0
5.739169297774128,790,8,5,25,173,9,25,23,0,127,normal,train_fuzzy_group0_realistic_b0
5.743647068749609,339,7,0,128,16,255,0,255,124,124,normal,train_fuzzy_group0_realistic_b0
5.7446495468776275,544,7,238,3,141,3,11,0,60,16,normal,train_fuzzy_group0_realistic_b0
5.7472870842498525,356,7,0,8,0,0,0,0,9,7,normal,train_fuzzy_group0_realistic_b0
5.749840096028184,790,8,5,25,181,9,25,22,0,127,normal,train_fuzzy_group0_realistic_b0
5.752885617327894,544,7,237,3,160,3,11,0,60,16,normal,train_fuzzy_group0_realistic_b0
5.757423422724707,339,7,0,128,16,255,0,255,124,115,normal,train_fuzzy_group0_realistic_b0
5.760041117868163,356,7,0,8,0,0,0,0,10,8,normal,train_fuzzy_group0_realistic_b0
5.7602623786580915,790,8,5,26,193,9,26,22,0,127,normal,train_fuzzy_group0_realistic_b0
5.7613075113943335,544,7,237,3,135,3,11,0,59,16,normal,train_fuzzy_group0_realistic_b0
5.764577648579859,356,7,0,8,0,0,0,0,11,8,normal,train_fuzzy_group0_realistic_b0
5.770404296172021,790,8,5,26,190,9,26,22,0,127,normal,train_fuzzy_group0_realistic_b0
5.770982965565028,544,7,237,3,139,3,11,0,58,16,normal,train_fuzzy_group0_realistic_b0
5.7721690709302935,339,7,0,128,16,255,0,255,128,124,normal,train_fuzzy_group0_realistic_b0
5.778343949065327,356,7,0,8,0,0,0,0,11,8,normal,train_fuzzy_group0_realistic_b0
5.78053059425882,544,7,237,3,167,3,11,0,59,16,normal,train_fuzzy_group0_realistic_b0
