timestamp,can_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,label,source_file
3.84,688,5,30,0,0,7,138,0,0,0,normal,train_impersonation_group1_artifact_b0
3.84,544,7,238,3,156,3,11,0,60,16,normal,train_impersonation_group1_artifact_b0
3.850045936805139,688,5,32,0,0,7,135,0,0,0,normal,train_impersonation_group1_artifact_b0
3.853531746979321,544,7,239,3,150,3,11,0,60,16,normal,train_impersonation_group1_artifact_b0
3.8602511976852343,688,5,32,0,0,7,142,0,0,0,normal,train_impersonation_group1_artifact_b0
3.8645044493263234,544,7,238,3,137,3,10,0,61,16,normal,train_impersonation_group1_artifact_b0
3.8700130962270376,688,5,32,0,0,7,111,0,0,0,normal,train_impersonation_group1_artifact_b0
3.871727946141439,544,7,239,3,130,3,10,0,62,16,normal,train_impersonation_group1_artifact_b0
3.876593397444664,544,7,239,3,149,3,10,0,62,16,normal,train_impersonation_group1_artifact_b0
3.8798364676450046,688,5,32,0,0,7,116,0,0,0,normal,train_impersonation_group1_artifact_b0
3.886807383459036,544,7,240,3,110,3,10,0,62,16,normal,train_impersonation_group1_artifact_b0
3.890592805255191,688,5,32,0,0,7,124,0,0,0,normal,train_impersonation_group1_artifact_b0
3.893427161629717,544,7,240,3,109,3,9,0,62,16,normal,train_impersonation_group1_artifact_b0
3.8966857624543048,544,7,240,3,129,3,10,0,62,16,normal,train_impersonation_group1_artifact_b0
3.900572554958912,688,5,31,0,0,7,127,0,0,0,normal,train_impersonation_group1_artifact_b0
3.9058558845767446,544,7,240,3,98,3,10,0,61,16,normal,train_impersonation_group1_artifact_b0
3.908599884222758,544,7,240,3,101,3,10,0,60,16,normal,train_impersonation_group1_artifact_b0
3.9112231396884645,688,5,32,0,0,7,126,0,0,0,normal,train_impersonation_group1_artifact_b0
3.9208294129355252,688,5,33,0,0,7,108,0,0,0,normal,train_impersonation_group1_artifact_b0
3.9218361926842706,544,7,240,3,119,3,10,0,60,16,normal,train_impersonation_group1_artifact_b0
3.9269085003711974,544,7,241,3,126,3,10,0,59,16,normal,train_impersonation_group1_artifact_b0
3.930875619151363,688,5,34,0,0,7,113,0,0,0,normal,train_impersonation_group1_artifact_b0
3.934265095639948,544,7,241,3,130,3,10,0,60,16,normal,train_impersonation_group1_artifact_b0
3.9412731191973,688,5,34,0,0,7,107,0,0,0,normal,train_impersonation_group1_artifact_b0
3.944586915809179,544,7,241,3,161,3,9,0,60,16,normal,train_impersonation_group1_artifact_b0
3.9513429953316535,688,5,35,0,0,7,94,0,0,0,normal,train_impersonation_group1_artifact_b0
3.9527354854763455,544,7,241,3,157,3,9,0,61,16,normal,train_impersonation_group1_artifact_b0
3.96150337764566,688,5,36,0,0,7,95,0,0,0,normal,train_impersonation_group1_artifact_b0
3.9626140791057862,544,7,241,3,182,3,9,0,61,16,normal,train_impersonation_group1_artifact_b0
3.9722605856532662,688,5,36,0,0,7,75,0,0,0,normal,train_impersonation_group1_artifact_b0
3.975316143451906,544,7,240,3,212,3,9,0,61,16,normal,train_impersonation_group1_artifact_b0
3.977877967327245,544,7,241,3,208,3,10,0,61,16,normal,train_impersonation_group1_artifact_b0
3.982356352094309,688,5,36,0,0,7,72,0,0,0,normal,train_impersonation_group1_artifact_b0
3.984321668763624,544,7,241,3,240,3,10,0,61,16,normal,train_impersonation_group1_artifact_b0
3.99213405072133,544,7,241,3,241,3,10,0,60,16,normal,train_impersonation_group1_artifact_b0
3.9926491819155574,688,5,36,0,0,7,76,0,0,0,normal,train_impersonation_group1_artifact_b0
3.9939197783801674,544,7,241,3,255,3,9,0,61,16,normal,train_impersonation_group1_artifact_b0
4.000669469683306,544,7,242,3,245,3,10,0,61,16,normal,train_impersonation_group1_artifact_b0
4.002196217960022,688,5,35,0,0,7,79,0,0,0,normal,train_impersonation_group1_artifact_b0
4.008171010695367,544,7,241,3,223,3,9,0,62,16,normal,train_impersonation_group1_artifact_b0
4.012263387911097,688,5,35,0,0,7,75,0,0,0,normal,train_impersonation_group1_artifact_b0
4.01248354011707,544,7,242,3,210,3,9,0,62,16,normal,train_impersonation_group1_artifact_b0
4.020359460688726,544,7,242,3,150,3,10,0,62,16,normal,train_impersonation_group1_artifact_b0
4.0226677118015735,688,5,35,0,0,7,58,0,0,0,normal,train_impersonation_group1_artifact_b0
4.024949583543047,544,7,243,3,148,3,10,0,62,16,normal,train_impersonation_group1_artifact_b0
4.031754592715866,544,7,243,3,156,3,10,0,62,16,normal,train_impersonation_group1_artifact_b0
4.032698092215477,688,5,36,0,0,7,48,0,0,0,normal,train_impersonation_group1_artifact_b0
4.03305598144267,544,7,243,3,162,3,10,0,61,16,normal,train_impersonation_group1_artifact_b0
