source,can_id,count,mean_iat_ms,std_iat_ms,min_iat_ms,max_iat_ms,mean_dlc,mean_entropy,std_entropy,byte0_mean,byte0_std,byte0_min,byte0_max,byte0_unique_vals,byte1_mean,byte1_std,byte1_min,byte1_max,byte1_unique_vals,byte2_mean,byte2_std,byte2_min,byte2_max,byte2_unique_vals,byte3_mean,byte3_std,byte3_min,byte3_max,byte3_unique_vals,byte4_mean,byte4_std,byte4_min,byte4_max,byte4_unique_vals,byte5_mean,byte5_std,byte5_min,byte5_max,byte5_unique_vals,byte6_mean,byte6_std,byte6_min,byte6_max,byte6_unique_vals,byte7_mean,byte7_std,byte7_min,byte7_max,byte7_unique_vals
dos,0x0,335624,0.9126217720478036,1.15886735821276,0.3279999999961092,293.3929999999805,8.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
dos,0x18,820,372.89490842490846,366.9040479233294,185.29300000000148,4400.233999999998,8.0,2.0,0.0,40.0,0.0,40,40,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,96.0,0.0,96.0,96.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,160.0,0.0,160.0,160.0,1,20.0,0.0,20.0,20.0,1
dos,0x34,163,1882.7248086419756,1508.7574724997498,999.5229999999999,8000.264999999992,8.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
dos,0x42,163,1858.062938271605,1502.5967554232984,999.5859999999652,9000.11699999999,8.0,0.9544340029249649,1.1136443671719465e-16,255.0,0.0,255,255,1,0.0,0.0,0,0,1,255.0,0.0,255.0,255.0,1,255.0,0.0,255.0,255.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
dos,0x43,158,1936.3462038216564,1586.946638781735,999.5820000000037,9000.484,8.0,0.5435644431995965,1.1137531544385829e-16,1.0,0.0,1,1,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
dos,0x44,151,1960.0375066666666,1758.3222106327912,998.4940000000222,11000.411000000015,8.0,1.061278124459133,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,255.0,0.0,255.0,255.0,1,88.0,0.0,88.0,88.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
dos,0x50,664,461.54065158371037,550.9452399786935,195.43,6199.922999999998,4.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,,,,,0,,,,,0,,,,,0,,,,,0
dos,0x80,15612,19.62048209595798,20.480287379352088,8.317999999995607,350.1329999999996,8.0,2.6470056157857633,0.1944015250829808,0.0,0.0,0,0,1,23.0,0.0,23,23,1,188.0878811170894,64.08626292212928,0.0,254.0,126,9.09774532410966,0.29848555837316754,8.0,10.0,3,24.11004355623879,1.6449842074472136,20.0,36.0,17,18.75012810658468,1.9491362204524405,16.0,23.0,6,24.169549064821933,1.637319468614647,20.0,36.0,17,126.90417627466051,73.51351787313048,0.0,255.0,256
dos,0x81,15700,19.510502707178798,20.469580065685744,8.344999999999825,350.3849999999886,8.0,1.9793786285134127,0.08600168926730843,64.0,0.0,64,64,1,132.0,0.0,132,132,1,136.09745222929936,0.7167429786409995,135.0,137.0,3,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,127.38993630573249,70.82530901514868,0.0,242.0,48
dos,0xa0,1523,201.120017739816,197.8598674230424,92.28799999999637,1891.4760000000115,8.0,2.7413523955556665,0.0507891141013749,66.97701904136572,2.5819289698377936,64,88,22,131.16480630334866,3.51901476642544,123,136,14,188.0801050558109,64.42754197573386,0.0,254.0,93,9.095206828627708,0.3024158203796363,8.0,10.0,3,0.0,0.0,0.0,0.0,1,35.48391332895601,0.5891907837071133,33.0,41.0,7,0.0,0.0,0.0,0.0,1,2.0,0.0,2.0,2.0,1
dos,0xa1,1551,197.4868825806452,215.04607654504443,91.80200000000127,3108.812999999998,8.0,1.9968911121935509,0.17171106959036894,128.2695035460993,1.0762382269351192,124,135,10,143.78272082527403,0.43830827133521777,142,144,3,128.0,0.0,128.0,128.0,1,128.0,0.0,128.0,128.0,1,36.163765312701486,1.200645958015618,34.0,45.0,12,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1
